region,unique_id,population,men,women,b_00_14,b_15_24,b_25_44,b_45_64,b_65_oo,unmarried,married,divorced,widowed
Waterland,GM0852,17315,8525,8790,2772,1807,3212,5325,4199,7547,7726,1091,951
Tilburg,GM0855,217259,108283,108976,32238,33373,59296,55948,36404,116960,72973,17437,9889
Uden,GM0856,41782,20715,21067,6530,4827,9792,11804,8829,19265,16870,3384,2263
Valkenswaard,GM0858,30910,15294,15616,4167,3292,6457,9205,7789,12795,13364,2733,2018
Veldhoven,GM0861,45337,22652,22685,6935,4901,10477,13408,9616,19619,19837,3470,2411
Vught,GM0865,26396,13167,13229,4569,2694,5845,7814,5474,12382,10433,2036,1545
Waalre,GM0866,17247,8543,8704,2871,1764,3477,4991,4144,7348,7575,1277,1047
Waalwijk,GM0867,48240,24042,24198,7400,5257,11762,13685,10136,21175,20600,3778,2687
Woensdrecht,GM0873,21866,10988,10878,3020,2351,4484,6736,5275,8542,10365,1634,1325
Zundert,GM0879,21612,11043,10569,2858,2443,4660,6920,4731,9435,9646,1238,1293
Wormerland,GM0880,16329,8097,8232,2344,2030,3176,5040,3739,7208,6986,1199,936
Landgraaf,GM0882,37591,18538,19053,4764,3624,7825,12088,9290,14738,16484,3729,2640
Beek,GM0888,15929,7774,8155,1913,1643,3281,5017,4075,6179,7375,1299,1076
Beesel,GM0889,13519,6807,6712,1926,1522,2780,4175,3116,5485,6277,952,805
Bergen (L.),GM0893,13140,6575,6565,1753,1462,2515,4345,3065,5421,5957,898,864
Brunssum,GM0899,28103,13806,14297,3598,2789,5961,8945,6810,11239,11718,3007,2139
Gennep,GM0907,17071,8708,8363,2557,1800,3433,5364,3917,7733,7225,1160,953
Heerlen,GM0917,86832,43082,43750,11081,9075,20584,26309,19783,39446,31294,10302,5790
Kerkrade,GM0928,45642,22854,22788,5603,4077,9861,14546,11555,17983,19057,5069,3533
Maastricht,GM0935,121565,58219,63346,12790,23204,28687,30981,25903,64138,40028,10632,6767
Meerssen,GM0938,18923,9314,9609,2480,1914,3469,6054,5006,7401,8840,1378,1304
Mook en Middelaar,GM0944,7806,3881,3925,996,867,1225,2638,2080,3172,3607,570,457
Nederweert,GM0946,17001,8598,8403,2333,1925,3567,5297,3879,6988,8019,977,1017
Roermond,GM0957,58209,28740,29469,8497,6163,14532,16915,12102,27280,21718,5798,3413
Simpelveld,GM0965,10516,5231,5285,1384,1003,2111,3322,2696,3940,5014,819,743
Stein,GM0971,24961,12370,12591,3005,2451,4933,7923,6649,9322,11917,1958,1764
Vaals,GM0981,10092,5203,4889,1019,1293,1822,3184,2774,4060,4340,975,717
Venlo,GM0983,101603,50626,50977,14749,11493,23876,29719,21766,45561,41135,9063,5844
Venray,GM0984,43326,22033,21293,6373,5186,9625,13046,9096,19400,18529,3142,2255
Voerendaal,GM0986,12452,6139,6313,1707,1177,2357,3902,3309,4696,5986,933,837
Weert,GM0988,49842,24956,24886,7015,5572,11042,14694,11519,21626,21165,3952,3099
Valkenburg aan de Geul,GM0994,16470,8116,8354,1820,1620,3093,5201,4736,6471,7206,1491,1302
Lelystad,GM0995,77893,39048,38845,14144,9163,19756,21290,13540,38086,29123,7648,3036
Horst aan de Maas,GM1507,42291,21341,20950,6117,5033,9063,13112,8966,18826,18682,2380,2403
Oude IJsselstreek,GM1509,39473,19851,19622,5717,4632,7689,12243,9192,16812,17493,2549,2619
Teylingen,GM1525,37061,18483,18578,6106,4519,8108,11272,7056,16769,15994,2522,1776
Utrechtse Heuvelrug,GM1581,49515,24206,25309,7897,5581,9096,14906,12035,21693,21077,3617,3128
Oost Gelre,GM1586,29704,15065,14639,4506,3665,6062,9048,6423,13767,12594,1526,1817
Koggenland,GM1598,22738,11478,11260,3753,2888,4788,6753,4556,10551,9704,1324,1159
Lansingerland,GM1621,61601,30499,31102,13228,7076,14690,17323,9284,29242,26384,3714,2261
Leudal,GM1640,35681,18042,17639,4591,4091,6969,11415,8615,14793,16348,2253,2287
Maasgouw,GM1641,23716,11953,11763,2795,2402,4579,7793,6147,9657,10667,1802,1590
Gemert-Bakel,GM1652,30447,15416,15031,4941,3457,7190,9008,5851,13923,13092,1868,1564
Halderberge,GM1655,30194,15060,15134,4357,3252,6394,9202,6989,12189,14047,2081,1877
Heeze-Leende,GM1658,15964,8059,7905,2265,1768,3146,4965,3820,6780,7308,909,967
Laarbeek,GM1659,22333,11298,11035,3408,2566,4778,6706,4875,9603,10085,1412,1233
Reusel-De Mierden,GM1667,13060,6714,6346,2178,1374,3119,3844,2545,5744,5936,696,684
Roerdalen,GM1669,20615,10300,10315,2591,1966,4047,6595,5416,8059,9497,1647,1412
Roosendaal,GM1674,77032,38200,38832,11554,8987,17331,22817,16343,33479,32380,6737,4436
Schouwen-Duiveland,GM1676,33779,16725,17054,4692,3490,6379,10148,9070,12633,16134,2784,2228
Aa en Hunze,GM1680,25386,12659,12727,3462,2610,4347,8354,6613,10096,11825,1844,1621
Borger-Odoorn,GM1681,25372,12703,12669,3548,2687,4658,8297,6182,9965,12004,1844,1559
Cuijk,GM1684,24931,12413,12518,3751,2950,5423,7532,5275,11160,10585,1846,1340
Landerd,GM1685,15529,7929,7600,2433,1913,3166,4691,3326,7150,6705,827,847
De Wolden,GM1690,24110,12031,12079,3590,2847,4461,7534,5678,9996,11071,1497,1546
